,map_trx_state,map__trx_dist,map_trx_years,map_trx_qtr,map_trx_amount,map_trx_count
201,arunachal pradesh,lower subansiri ,2023,4,959863862.0,559506
202,arunachal pradesh,longding ,2023,4,332931262.0,176666
203,arunachal pradesh,west siang ,2023,4,1262224512.0,687577
204,arunachal pradesh,kamle ,2023,4,123271590.0,69707
205,arunachal pradesh,upper siang ,2023,4,398373540.0,188063
206,arunachal pradesh,ap ,2023,4,535162444.0,289385
207,arunachal pradesh,papum pare ,2023,4,8374060439.0,5938599
208,arunachal pradesh,kurung kumey ,2023,4,159910955.0,65869
209,arunachal pradesh,anjaw ,2023,4,222941392.0,99303
210,arunachal pradesh,ang ,2023,4,259192071.0,145231
211,arunachal pradesh,lower siang ,2023,4,277578144.0,161327
212,arunachal pradesh,kra daadi ,2023,4,184199521.0,83516
213,arunachal pradesh,hanglang ,2023,4,1430052570.0,806945
214,arunachal pradesh,pakke kessang ,2023,4,61144256.0,41236
215,arunachal pradesh,bang valley ,2023,4,79988144.0,32123
216,arunachal pradesh,west kameng ,2023,4,2162840497.0,1195192
217,arunachal pradesh,hi yomi ,2023,4,91284638.0,18458
218,arunachal pradesh,east siang ,2023,4,1416674919.0,931589
219,arunachal pradesh,upper subansiri ,2023,4,855586655.0,342000
220,arunachal pradesh,east kameng ,2023,4,578170716.0,327263
221,arunachal pradesh,lohit ,2023,4,1192879539.0,779252
222,arunachal pradesh,lepa rada ,2023,4,322215111.0,179912
223,arunachal pradesh,awang ,2023,4,1297707130.0,509181
224,arunachal pradesh,namsai ,2023,4,769723768.0,533600
225,arunachal pradesh,lower dibang valley ,2023,1,537713700.0,256396
226,arunachal pradesh,lower subansiri ,2023,1,585614438.0,257899
227,arunachal pradesh,longding ,2023,1,261124844.0,107606
228,arunachal pradesh,west siang ,2023,1,764188915.0,320064
229,arunachal pradesh,kamle ,2023,1,92585537.0,40383
230,arunachal pradesh,upper siang ,2023,1,268653642.0,103335
231,arunachal pradesh,ap ,2023,1,368592354.0,157071
232,arunachal pradesh,papum pare ,2023,1,5900429571.0,3302746
233,arunachal pradesh,kurung kumey ,2023,1,97772110.0,29127
234,arunachal pradesh,anjaw ,2023,1,125631329.0,47386
235,arunachal pradesh,ang ,2023,1,201397801.0,80741
236,arunachal pradesh,lower siang ,2023,1,206156352.0,95379
237,arunachal pradesh,kra daadi ,2023,1,133651279.0,39986
238,arunachal pradesh,hanglang ,2023,1,1101499481.0,494506
239,arunachal pradesh,pakke kessang ,2023,1,53298027.0,29274
240,arunachal pradesh,bang valley ,2023,1,28921318.0,6327
241,arunachal pradesh,west kameng ,2023,1,1414404520.0,662521
242,arunachal pradesh,hi yomi ,2023,1,38151814.0,6633
243,arunachal pradesh,east siang ,2023,1,990989057.0,535198
244,arunachal pradesh,upper subansiri ,2023,1,533663642.0,179629
245,arunachal pradesh,east kameng ,2023,1,375398867.0,150931
246,arunachal pradesh,lohit ,2023,1,870836418.0,483285
247,arunachal pradesh,lepa rada ,2023,1,200811427.0,91748
248,arunachal pradesh,awang ,2023,1,724541898.0,239151
249,arunachal pradesh,namsai ,2023,1,518550113.0,325503
250,arunachal pradesh,lower dibang valley ,2023,3,628025556.0,389175
251,arunachal pradesh,lower subansiri ,2023,3,818756305.0,482224
252,arunachal pradesh,longding ,2023,3,281708440.0,150276
253,arunachal pradesh,west siang ,2023,3,1037211224.0,554407
254,arunachal pradesh,kamle ,2023,3,104430900.0,62975
255,arunachal pradesh,upper siang ,2023,3,348328951.0,157030
256,arunachal pradesh,ap ,2023,3,447309633.0,237127
257,arunachal pradesh,papum pare ,2023,3,7595971259.0,5410471
258,arunachal pradesh,kurung kumey ,2023,3,135509046.0,52807
259,arunachal pradesh,anjaw ,2023,3,178422001.0,69246
260,arunachal pradesh,ang ,2023,3,230649450.0,126921
261,arunachal pradesh,lower siang ,2023,3,230582572.0,134761
